"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"VA Palo Alto Healthcare System","Monterey CBOC (116A/MONT)","201 9th Street","","Marina","CA","93933","","Monterey","831-884-1000","https://www.va.gov/palo-alto-health-care/locations/","36.6628406","-121.813662","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","1","","1","","","","","","","","","1","1","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","","","","","","1","1","1","1","1","1","1","1","1","1","","","1","","","1","1","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","","","1","1","1","1","","","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","","1","1","1","","1","1","1","","1","","1","1","1","1","1","","","","","1","1","","","","","","","","","","","","","","","","","1","","","",""
"Starlight Community Services Inc","","6203 San Ignacio Avenue","Suite 150","San Jose","CA","95119","1371","Santa Clara","408-284-9000","https://www.starsinc.com","37.2364198","-121.7779307","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","","","1","","","","","","","1","","","","","","","1","","1","1","","","","1","","1","","","","","1","1","","1","","","","","","","","1","1","1","","","1","1","1","1","","","1","","1","1","","1","1","","","","","","","","1","1","","1","","","","","","","","","","1","","1","","1","1","","","","","","1","","","","1","1","1","","","","","","","","","1","","1","","1","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Sun Street Centers","Outpatient Recovery Services","1201 Echo Avenue","Suite E-1","Seaside","CA","93955","","Monterey","831-599-6577","https://www.sunstreetcenters.org","36.6134858","-121.8425595","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","","","1","","","1","","","","","1","1","","","1","1","1","1","","","1","1","","","","1","","","","1","1","","1","1","","","","","","","","","","1","1","1","1","1","","","1","1","1","","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","1","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","","1","","1","","1","1","1","","","","","","","","","","1","","","1","","","","1","","","1","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Community Human Services","Genesis House","1152 Sonoma Avenue","","Seaside","CA","93955","","Monterey","831-899-2436","https://www.chservices.org","36.6059013","-121.8416372","SU","1","1","","","","","","1","","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","1","","1","","1","","","1","","","","","1","1","","","","","","","","1","1","","","","","","","","1","","","","","","","","","1","1","1","1","1","","1","1","1","1","1","","","1","1","","","1","1","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","","","1","","1","","1","1","","1","","","1","","","1","","1","","","1","","","","","","","","","","","","","","1","","","","1","","1","1","1","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"VA Palo Alto Healthcare System","San Jose CBOC","5855 Silver Creek Valley Place","","San Jose","CA","95138","1059","Santa Clara","408-574-9100","https://www.va.gov/palo-alto-health-care/locations/san-jose-va-clinic/","37.2557377","-121.7906545","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","1","","1","","","","","","","","","1","1","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","","","","","","1","1","1","1","1","1","1","1","1","1","","","1","","","1","1","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","","","1","1","1","1","","","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","","1","1","1","","1","1","1","","1","","1","1","1","1","1","","","","","1","1","1","","","","","","","","","","","","","","","","","1","","",""
"Aegis Treatment Centers LLC","Stockton","8626 Lower Sacramento Road","Suite 41","Stockton","CA","95210","","San Joaquin","209-478-2487","https://pinnacletreatment.com/location/california/","38.0289002","-121.3215471","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","1","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","","","1","1","1","1","1","1","1","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","1","1","1","","1","","","","1","1","","1","1","1","","","1","1","1","","1","","1","1","1","","","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","1","1","","1","1","","1","","","","","","","","","1","1","","1","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","",""
"Community Human Services","Outpatient Treatment Center Monterey","2511 Garden Road","Suite 165","Monterey","CA","93940","","Monterey","831-383-7800","https://chservices.org","36.5866854","-121.8532366","SU","1","","","","","","","1","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","1","","","","1","","","","","","","","1","1","","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","1","1","","","1","1","","","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","","","1","","","","1","","","1","","","","","","1","","1","","","1","","","","","","","","","","","","","","1","","","","1","","1","1","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monterey Bay Recovery and Rehab","Elevate Addiction Services","9057 Soquel Drive","Building A, Suite G","Aptos","CA","95003","","Santa Cruz","831-661-8853","https://www.elevaterehab.org","36.9764118","-121.8899954","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","","","1","","","","","","","1","1","","","","","","","1","1","","1","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","","1","","1","","1","","1","1","1","","","","","","","","","1","","","","1","1","","","1","","1","1","1","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"D and Js Transitions Inc","Outpatient Services","117 South Benwiley Avenue","","Santa Maria","CA","93458","","Santa Barbara","805-332-3439","https://www.hamic.org","34.9525134","-120.4458791","SU","1","","","","","","","","","","","1","","","1","","","","1","","","1","1","","","1","","1","1","1","1","","","","1","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","","1","","","","1","","","","1","1","1","","","1","1","","","","1","","1","1","1","1","","","","","","","","1","1","1","","1","","1","1","1","","","1","","","1","1","","1","","","1","","","1","","","1","1","1","","1","","1","1","1","","1","","1","1","1","1","1","1","1","","1","","","1","","1","","1","","1","","","","","","","","","","1","","","","","","","1","","1","","1","","","","","","1","1","","1","1","1","1","","1","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Towns Health Services/Lodi","","330 South Fairmont Avenue","Suite 2","Lodi","CA","95240","","San Joaquin","209-744-9909","https://www.townshealthservices.com","38.1287804","-121.2854802","SU","1","1","","","","","1","1","1","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","1","1","1","1","1","","","","","","","","","","","","1","","1","","1","","","","","","1","1","","","1","1","","","","1","1","1","","","","1","1","","","1","1","","1","","","1","1","1","1","1","1","","1","1","1","1","","1","1","","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","1","1","1","","1","","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","","","1","","","1","1","1","","","1","1","1","","1","1","","","","1","1","","","1","1","","1","1","1","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Council on Alcoholism and Drug Abuse","Daniel Bryant Yth and Fam Ctr Adol Trt","120 East Jones Street","","Santa Maria","CA","93454","","Santa Barbara","805-963-1433","https://www.cadasb.org","34.9455911","-120.4346442","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","","1","1","","1","1","1","","1","1","","","","1","","1","","","","","1","","","1","","","","","","","","1","1","1","1","","1","","1","1","1","","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","","","","1","","1","1","1","1","1","1","1","","1","","","1","","","","1","1","1","","","","","","","","","","1","","1","1","1","","","1","","1","1","1","","","","","","","1","","1","1","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aegis Treatment Centers LLC","","541 South Ham Lane","Suites A and B","Lodi","CA","95242","","San Joaquin","209-224-8940","https://pinnacletreatment.com/location/california/","38.1275625","-121.2888535","SU","1","1","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","1","","","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","","1","1","","","","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","1","","1","","1","","","","1","1","","1","1","1","1","1","1","1","1","","1","","1","","","","","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","1","1","","1","1","","","1","","","","","","","","1","1","","1","","1","","","","1","1","","1","1","","","","","","","","1","1","","","","","","","","1","","","",""
"Good Samaritan Shelter","Casa De Familia Treatment Center","403 West Morrison Street","Suite B","Santa Maria","CA","93454","","Santa Barbara","805-332-3647","https://www.goodsamaritanshelter.org","34.9434147","-120.4411191","SU","1","","","","","","","","","","","","","","","1","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","1","","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","","","","","1","","","1","","","1","1","","","","","1","","","","","1","","","","","","","","","","","1","","","1","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alpine County","Behavioral Health Services","40 Diamond Valley Road","","Markleeville","CA","96120","","Alpine","530-694-1816","https://www.alpinecountyca.gov","38.7700718","-119.8173982","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","","","","1","1","","1","","","","","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","","1","","1","","1","1","","1","1","","","1","","","","","1","1","","1","","","","","","","","1","","1","1","1","1","1","1","1","","1","","","1","","1","","","","","","","","","","","","","","","1","","1","","","","1","","","1","","","","","","","","","","1","1","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Good Samaritan Shelter","Recovery Point","245 East Inger Drive","Suite 103-B","Santa Maria","CA","93454","","Santa Barbara","805-346-8185","https://www.GoodSamShelter.net","34.9267459","-120.4338802","SU","1","","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","1","","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","","","","1","","","1","","","1","1","","","1","","1","","","","","1","","","","","","","","","","","1","","","1","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","1","","","","",""
"Alexian Health Clinic (AHC)","","2101 Alexian Drive","Suite A","San Jose","CA","95116","","Santa Clara","408-272-6577","https://bhsd.sccgov.org/information-resources/medication-assisted-treatment","37.359693","-121.8483377","SU","1","","1","","1","","1","1","1","1","1","","","","","1","","1","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","","1","","","1","","","","","1","1","1","","1","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","","","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","","1","1","1","","","","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","1","1","","","","1","","","","1","1","","","","","","","","","","","1","1","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lake Hughes Recovery","","49713 Gorman Post Road","","Lebec","CA","93243","","Kern","661-724-0001","https://www.lakehughesrecovery.com","34.7959432","-118.8516982","SU","1","1","","","","","","1","1","","","","","","","1","","","1","","","1","1","","1","","1","1","","1","1","1","","","","","","1","1","","","","","","","","","","1","","1","","1","","","","","","","","","1","","","1","","","","1","1","1","1","1","1","1","","","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","","1","","","","","1","","1","","","","1","1","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Proyecto Primavera","Gardner Health Services","160 East Virginia Street","Suite 264","San Jose","CA","95112","","Santa Clara","408-977-1591","https://gardnerhealthservices.org","37.3255528","-121.8776966","SU","1","","","","","","","1","1","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","","1","","","","1","","","1","1","1","","","","1","1","","1","1","1","1","1","1","1","","","","","","","","","1","1","","","1","1","1","1","","1","1","1","","","1","1","1","1","1","","1","","","","","1","1","","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","","1","","1","","1","","1","1","1","","1","","1","","","","","","1","","1","","","","","","1","","1","","","","","","","1","","","1","1","1","1","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","1","","","","","","","","","","","","",""
"Rikki Rap Inc","Sobriety Works","8030 Soquel Avenue","Suite 103","Santa Cruz","CA","95062","2096","Santa Cruz","831-476-1747","https://www.sobrietyworks.com","36.9821487","-121.9670964","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","1","","1","1","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","","1","1","1","","1","","","","","","","1","","1","1","1","1","","","1","","1","1","1","","","","","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Starlight Community Services","","1885 Lundy Avenue","Suite 223","San Jose","CA","95131","1888","Santa Clara","408-284-9000","https://www.starsinc.com","37.3930818","-121.891703","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","","","1","","","","","","","1","","","","","","","1","","1","1","","","","1","","1","","","","","1","1","","1","","","","","","","","1","1","1","","","1","1","1","1","","","1","","1","1","","1","1","","","","","","","","1","","","1","","","","","","","","","","1","","1","","1","","","","","","","1","","","","1","1","1","","","","","","","","","1","","1","","1","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Palm Tree Ranch","","12370 Clay Station Road","","Herald","CA","95638","","Sacramento","209-744-9909","https://www.townshealthservices.net","38.3081899","-121.1788686","SU","1","","","","","","1","1","1","","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","","","","1","1","","","","","1","1","","","","1","1","","","1","1","","1","","","1","1","","","","","","1","1","1","1","","1","1","","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","1","1","1","","1","","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","","","1","","","","1","1","","","1","1","1","","1","1","1","1","","1","","","","1","1","","1","","1","","","","1","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perinatal Substance Abuse Program","(PSAP)","2425 Enborg Lane","","San Jose","CA","95128","","Santa Clara","408-885-5400","https://bhsd.sccgov.org/programs-services/substance-use-services","37.3113498","-121.9368123","SU","1","","1","","1","","1","1","1","1","1","","","","","1","","1","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","","1","","","1","","","","","1","1","1","","1","","1","","","1","1","","","","","","","","1","","","","","","","","1","","","","","","","1","1","1","","","1","","1","1","","","1","","","1","1","1","","","","1","1","","1","1","","1","1","1","","1","","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","1","1","","","","1","","","","1","1","","","","","","","","","","","","1","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Central Valley Clinic","(CVC)","2425 Enborg Lane","","San Jose","CA","95128","","Santa Clara","408-885-5400","https://bhsd.sccgov.org/programs-services/substance-use-services","37.311277","-121.937572","SU","1","","1","","1","","1","1","1","1","1","","","","","1","","1","1","","1","1","1","1","","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","","1","","","1","","","","","1","1","1","","1","","1","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","","","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","","1","1","1","","","","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","1","1","","","","1","","","","1","1","","","","","","","","","","","1","1","","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"GLOM Substance Abuse Program","Boessow Gardens","10898 Boessow Road","","Galt","CA","95632","","Sacramento","925-334-7186","https://glom-sap.org/","38.2546613","-121.2825555","SU","1","1","","","1","1","","1","","","","","","","","1","","","1","","","1","","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","1","1","","1","","1","","1","","","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","","","1","","1","1","","","","1","","","1","1","","1","","","","","","1","","","1","1","1","","","","","","","","","","","","1","1","","1","","","","","1","1","","1","","","1","1","","1","","1","","","","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"GLOM Substance Abuse Program","Marengo Grove","13386 Marengo Road","","Galt","CA","95632","","Sacramento","925-334-7186","https://glom-sap.org/","38.2662202","-121.2839157","SU","1","1","","","1","1","","1","","","","","","","","1","","","1","","","1","","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","1","1","","1","","1","","1","","1","1","","1","1","1","1","1","","1","1","1","1","1","","1","1","","","1","","1","1","","","","1","","","1","1","1","","","","","","","1","","","1","1","1","","","","","","","","","","","","1","1","","1","","","","","1","1","","1","","","1","1","","1","","1","","","","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Scotts Valley Outpatient","The Camp","3600 Glen Canyon Road","","Scotts Valley","CA","95066","","Santa Cruz","831-269-3525","https://www.camprecovery.com/","37.0413964","-122.0226688","SU","1","","","","","","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","","1","1","","","","","","","","","","","","","","","1","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","","","1","1","1","1","1","","","1","","","1","1","1","1","","","1","1","1","1","","","1","1","1","","","","","","","","1","1","","1","1","1","1","1","","","","","","1","","1","","1","1","1","","1","","1","","1","1","1","1","","","","","1","","","","1","1","","1","1","","","","1","1","1","","1","1","","","","","","","","1","","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Towns Health Services","","750 Spaans Drive","Suites C, D, E and F","Galt","CA","95632","","Sacramento","209-744-9909","https://www.townshealthservices.com","38.2653984","-121.3025493","SU","1","1","","","","","1","1","1","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","1","1","1","1","1","","","","","","","","","","","","1","","1","","1","","","","","","1","1","","","1","1","","","","1","1","1","","","","1","1","","","1","1","","1","","","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","1","","1","","1","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","1","1","1","","1","","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","","","1","","","1","1","1","","","1","1","1","","1","1","","","","1","1","","","1","1","","1","1","1","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Life Community Services Inc","","707 Fair Avenue","","Santa Cruz","CA","95060","","Santa Cruz","831-427-1007 x2","https://www.newlifesc.org","36.9562674","-122.0458262","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","1","","","1","1","","","1","1","","","","1","","","","1","1","","1","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","","1","","1","","","1","1","","","","","","","","","","1","1","1","","","","","1","","","","","","","","","","","1","","1","1","1","","","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1"
"REACH Project","REACH Brentwood","9100 Brentwood Boulevard","","Brentwood","CA","94513","","Contra Costa","925-666-8460","https://","37.919361","-121.6840047","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","","1","1","","","","1","1","1","","1","","","","","1","","1","","1","1","","","","","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","","1","","1","","","1","1","","","1","1","","","","","1","","1","","1","1","","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Horizon Services Inc","Project Eden East County","1020 Serpentine Lane","Suites 100 and 102","Pleasanton","CA","94566","4758","Alameda","510-935-0929","https://www.horizonservices.org","37.6742336","-121.8663127","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","1","","","","","1","","","1","","","1","1","1","1","1","1","1","","","1","1","","1","1","1","","1","","","1","","","","","","","","1","1","1","","","1","","1","1","1","","1","","","1","1","1","1","","","1","","","","","","1","1","1","","","","","","1","","","","","1","1","","1","1","1","","","","","1","","","","1","1","1","","","","","","","","","","1","","","1","","","","1","","","1","","","","","","","1","","","1","1","","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meadows Outpatient Center","Silicon Valley","1309 South Mary Avenue","Suite 100","Sunnyvale","CA","94087","","Santa Clara","866-356-9801","https://meadowsoutpatient.com/locations/silicon-valley-ca/","37.349343","-122.0509397","SU","1","","","","","","","","","","","","1","","","","","","1","","1","1","1","","1","","","","1","","","","","","1","1","1","","","","","","","","","","","","","1","1","","1","","","1","","","1","","","","1","1","","","","","","1","1","1","1","1","1","","1","1","1","","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","","","1","","1","1","","1","1","1","1","","","","","","","","","","1","1","1","1","1","1","1","","","","","1","","","","1","1","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","1","1","","1","1","1","1","","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Progress House Inc","Camino","5494 Pony Express Trail","","Camino","CA","95709","","El Dorado","530-626-9240","https://www.progresshouseinc.org","38.7492475","-120.6164439","SU","1","","","","1","","","1","","","","","","","","1","","","1","","","1","","1","","","1","1","","","1","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","1","","","","","","1","","","","","1","1","","","1","1","","1","1","","1","1","1","1","","","","","","","","","1","1","","","","","1","1","1","1","","1","1","","1","1","1","","","","","","","1","","","1","1","1","","","","1","","","","","1","","","1","1","1","1","","","","","","1","","","","","1","","","","","1","1","1","","","","1","","1","1","1","","","1","","1","1","1","","","","","","1","1","","","1","1","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Lake Tahoe Recovery and Rehab","Elevate Addiction Services","2494 Lake Tahoe Boulevard","Unit C-3","South Lake Tahoe","CA","96150","","El Dorado","530-539-9029","https://www.elevaterehab.org","38.9237327","-119.9881673","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","","","1","","","","","","","1","1","","","","","","","1","1","","1","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","","1","","1","","1","","1","1","1","","","","","","","","","1","","","","1","1","","","1","","1","1","1","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
